flight_distance,departure_delay_in_minutes,age,gender,customer_type,type_of_travel,class,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on-board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,satisfaction
109,0,54,Male,Loyal Customer,Business travel,Eco,1,0,0,4,3,1,2,3,1,5,3,4,3,3,0
956,0,48,Male,Loyal Customer,Personal Travel,Eco,3,4,3,1,5,3,5,5,5,4,4,4,4,5,0
622,36,53,Female,Loyal Customer,Personal Travel,Eco Plus,1,4,1,1,3,5,4,3,3,1,3,3,3,3,0
2288,76,46,Male,Loyal Customer,Business travel,Business,2,4,4,4,2,3,3,2,2,2,2,2,2,1,0
1589,0,23,Male,Loyal Customer,Personal Travel,Eco,2,2,2,4,4,2,1,4,2,5,4,4,4,4,0
224,0,22,Female,disloyal Customer,Business travel,Eco,5,0,5,2,2,5,2,2,1,5,1,5,1,2,1
102,0,33,Male,disloyal Customer,Business travel,Eco,3,0,3,1,4,3,4,4,4,2,5,1,3,4,0
925,0,63,Male,Loyal Customer,Personal Travel,Eco,2,5,2,1,1,2,1,1,5,5,4,5,4,1,0
370,14,33,Male,Loyal Customer,Personal Travel,Eco,3,3,3,3,1,3,1,1,1,3,3,1,2,1,0
471,0,20,Female,disloyal Customer,Business travel,Eco,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0
692,0,13,Female,Loyal Customer,Personal Travel,Eco,3,5,3,2,2,3,2,2,4,2,4,4,5,2,0
577,0,34,Female,disloyal Customer,Business travel,Eco,2,2,2,4,5,2,5,5,1,4,3,2,4,5,0
3647,4,43,Female,Loyal Customer,Business travel,Business,4,4,2,2,2,3,4,4,4,4,4,3,4,2,0
403,86,51,Male,Loyal Customer,Business travel,Eco,1,1,4,1,1,1,1,1,2,4,3,4,3,1,0
718,42,28,Female,disloyal Customer,Business travel,Eco,2,2,2,4,5,2,4,5,5,2,2,3,1,5,0
2586,0,37,Female,Loyal Customer,Personal Travel,Eco,1,4,1,5,1,5,5,3,2,4,4,5,4,5,0
1167,244,58,Female,Loyal Customer,Business travel,Eco,4,4,4,4,4,4,4,5,4,2,3,4,4,4,1
657,0,22,Female,disloyal Customer,Business travel,Eco,2,4,2,3,2,2,2,2,3,4,4,2,3,2,0
642,0,50,Male,Loyal Customer,Personal Travel,Eco Plus,4,3,5,2,4,5,4,4,4,1,1,1,5,4,0
2677,0,22,Male,disloyal Customer,Business travel,Business,5,5,5,1,1,5,3,1,4,2,4,3,5,1,1
1237,0,55,Male,Loyal Customer,Business travel,Business,5,5,5,5,3,5,5,5,5,5,5,5,5,4,1
259,0,51,Male,Loyal Customer,Business travel,Eco,2,1,2,1,2,2,2,2,5,3,1,5,1,2,1
338,0,51,Male,Loyal Customer,Business travel,Business,4,4,4,4,2,5,5,5,5,5,5,4,5,4,1
179,40,35,Male,Loyal Customer,Business travel,Eco,4,5,5,5,4,4,4,4,1,3,3,5,3,4,1
404,14,63,Female,Loyal Customer,Personal Travel,Eco,2,1,2,3,4,4,4,5,5,2,5,4,5,2,0
1053,0,8,Female,Loyal Customer,Personal Travel,Eco,2,4,2,4,5,2,5,5,4,3,4,3,5,5,0
159,0,39,Male,disloyal Customer,Business travel,Business,2,2,2,1,4,2,4,4,4,2,4,3,5,4,0
921,0,32,Male,Loyal Customer,Business travel,Business,4,4,4,4,4,4,4,4,3,5,1,2,1,4,0
237,49,23,Female,Loyal Customer,Personal Travel,Eco,3,4,0,3,1,0,1,1,4,5,4,3,4,1,0
611,9,37,Female,Loyal Customer,Business travel,Business,3,3,3,3,5,5,5,4,4,5,4,3,4,4,1
407,77,35,Male,disloyal Customer,Business travel,Business,1,1,1,1,2,1,2,2,3,5,4,3,5,2,0
1172,0,23,Male,Loyal Customer,Business travel,Business,4,4,4,4,4,5,4,4,3,2,5,5,4,4,1
472,5,38,Male,disloyal Customer,Business travel,Business,1,1,1,3,1,1,1,1,4,5,3,2,3,1,0
2284,0,54,Female,Loyal Customer,Business travel,Business,4,4,4,4,5,4,4,5,5,5,5,3,5,3,1
209,0,18,Male,Loyal Customer,Business travel,Business,5,5,5,5,4,4,3,4,2,3,4,4,1,4,1
3098,3,46,Male,Loyal Customer,Business travel,Business,1,1,4,1,3,5,5,3,3,4,3,4,3,4,1
964,0,35,Female,Loyal Customer,Business travel,Business,3,3,3,3,2,4,4,5,5,5,5,4,5,3,1
315,0,43,Male,Loyal Customer,Personal Travel,Eco,3,4,4,1,2,4,2,2,1,5,5,4,3,2,0
413,5,77,Male,Loyal Customer,Business travel,Eco Plus,1,4,4,4,1,1,1,1,4,1,3,1,3,1,0
1807,7,39,Male,Loyal Customer,Business travel,Business,3,2,2,2,1,2,3,3,3,3,3,1,3,1,0
2996,6,42,Female,Loyal Customer,Business travel,Business,3,3,3,3,2,4,4,4,4,4,4,4,4,5,1
2172,3,48,Male,Loyal Customer,Business travel,Business,1,4,3,4,5,1,1,1,1,2,1,1,1,4,0
3128,23,55,Male,Loyal Customer,Business travel,Business,4,4,4,4,5,4,5,5,5,5,5,4,5,3,1
1947,0,32,Female,Loyal Customer,Personal Travel,Business,4,4,4,1,5,4,5,5,5,4,3,4,5,5,0
991,0,11,Female,disloyal Customer,Business travel,Eco,2,2,2,2,5,2,5,5,4,5,3,2,4,5,0
490,0,44,Male,disloyal Customer,Business travel,Eco,4,4,4,3,5,4,5,5,2,5,4,4,1,5,0
489,0,62,Male,Loyal Customer,Personal Travel,Eco,3,2,3,4,5,3,2,5,4,5,4,1,3,5,0
519,0,29,Male,Loyal Customer,Personal Travel,Eco,1,4,2,2,4,2,4,4,5,4,5,4,5,4,0
1595,0,58,Female,Loyal Customer,Business travel,Business,0,0,0,2,3,5,5,4,4,4,4,3,4,3,1
3545,0,57,Female,Loyal Customer,Business travel,Business,2,2,5,2,1,1,3,3,3,4,3,5,3,4,1
308,0,34,Male,disloyal Customer,Business travel,Eco,4,0,4,4,4,4,4,4,1,3,1,3,4,4,0
650,2,11,Female,Loyal Customer,Personal Travel,Eco,3,1,3,4,3,3,3,3,1,5,4,4,3,3,0
967,44,41,Female,Loyal Customer,Business travel,Business,2,2,2,2,2,3,5,4,4,4,4,5,4,5,1
321,13,61,Male,Loyal Customer,Business travel,Business,3,3,4,3,2,5,5,5,5,5,5,5,5,5,1
